Name,Address,City,Google Maps Rating,Number of Ratings,Lat/Long,Lat,Long,Land Value,Square Footage,Year Built,Elevation (ft),Previously NULL
In-N-Out Burger,9149 S Sepulveda Blvd,Los Angeles,4.6,12902,"[33.9537068, -118.3967825]",33.9537068,-118.3967825,"$999,128.00",4950,1996,105,N
In-N-Out Burger,7009 Sunset Blvd,Hollywood,4.5,13267,"[34.0982287, -118.3416747]",34.0982287,-118.3416747,"$2,237,850.00",3085,1994,351,N
In-N-Out Burger,9245 Venice Blvd,Los Angeles,4.5,5736,"[34.0264602, -118.3942849]",34.0264602,-118.3942849,"$2,877,579.00",12872,1989,108.3,N
In-N-Out Burger,922 Gayley Ave,Los Angeles,4.5,4042,"[34.0630706, -118.448026]",34.0630706,-118.448026,"$381,099.00",3729,1996,337.9,N
In-N-Out Burger,3640 Cahuenga Blvd,Los Angeles,4.6,4488,"[34.1350792, -118.3605992]",34.1350792,-118.3605992,"$1,519,026.00",2340,1995,620.1,N
In-N-Out Burger,3411 W Century Blvd,Inglewood,4.6,6503,"[33.9457913, -118.3323452]",33.9457913,-118.3323452,"$1,488,046.00",3164,2002,134.5,N
In-N-Out Burger,6000 Pacific Blvd,Huntington Park,4.6,6569,"[33.987022, -118.2248164]",33.987022,-118.2248164,"$3,268,832.50",2900,,173.9,Y
In-N-Out Burger,2200 S Central Ave,Compton,4.6,1608,"[33.8723526, -118.2480468]",33.8723526,-118.2480468,"$925,452.00",4800,,131.2,Y
In-N-Out Burger,13425 Washington Blvd,Marina Del Rey,4.5,6089,"[33.9916475, -118.4462335]",33.9916475,-118.4462335,"$1,827,694.00",3472,1999,19.7,N
In-N-Out Burger,7930 Van Nuys Blvd,Panorama City,4.6,3073,"[34.2150465, -118.4483102]",34.2150465,-118.4483102,"$1,606,047.00",3291,1998,784.1,N
In-N-Out Burger,5864 Lankershim Blvd,North Hollywood,4.6,2681,"[34.1774723, -118.3819181]",34.1774723,-118.3819181,"$91,668.00",787,1971,659.4,N
In-N-Out Burger,7220 Balboa Blvd,Van Nuys,4.6,3214,"[34.2018619, -118.5007622]",34.2018619,-118.5007622,"$2,730,102.00",3237,2005,757.9,N
In-N-Out Burger,13651 Roscoe Blvd,Panorama City,4.6,2240,"[34.221955, -118.4307999]",34.221955,-118.4307999,"$152,419.00",804,1971,803.8,N
In-N-Out Burger,119 S Brand Blvd,Glendale,4.6,2301,"[34.1455831, -118.2552662]",34.1455831,-118.2552662,"$925,452.00",6100,,531.5,Y
In-N-Out Burger,11455 Laurel Canyon Blvd,San Fernando,4.6,4303,"[34.2780075, -118.4530002]",34.2780075,-118.4530002,"$410,218.00",3735,2015,1017.1,N
In-N-Out Burger,6841 Topanga Canyon Blvd,Canoga Park,4.6,2943,"[34.1949248, -118.6063827]",34.1949248,-118.6063827,"$395,658.50",3715,,797.2,Y
In-N-Out Burger,730 W Carson St,Torrance,4.5,3049,"[33.8311475, -118.2884053]",33.8311475,-118.2884053,"$589,365.00",1443,1983,39.4,N
In-N-Out Burger,6225 Foothill Blvd,Tujunga,4.6,1720,"[34.2410526, -118.2667092]",34.2410526,-118.2667092,"$130,083.00",777,1974,1837.3,N
In-N-Out Burger,761 N 1st St,Burbank,4.6,3377,"[34.184954, -118.316081]",34.184954,-118.316081,"$11,548,683.00",2968,1995,603.7,N
In-N-Out Burger,600 N Sepulveda Blvd,El Segundo,4.6,5330,"[33.9239028, -118.3954146]",33.9239028,-118.3954146,"$925,452.00",4806,,114.8,Y
In-N-Out Burger,4444 Van Nuys Blvd,Sherman Oaks,4.6,3347,"[34.1521118, -118.4483226]",34.1521118,-118.4483226,"$6,297,583.50",2993,,656.2,Y
In-N-Out Burger,310 Harvey Dr,Glendale,4.6,4208,"[34.1486551, -118.2273294]",34.1486551,-118.2273294,"$2,316,562.50",3276,,702.1,Y
In-N-Out Burger,1210 N Atlantic Blvd,Alhambra,4.6,4588,"[34.1059937, -118.1343897]",34.1059937,-118.1343897,"$3,268,832.50",2870,,547.9,Y
In-N-Out Burger,19920 Ventura Blvd,Woodland Hills,4.6,2097,"[34.1719563, -118.5666003]",34.1719563,-118.5666003,"$1,054,195.50",1806,,846.5,Y
In-N-Out Burger,9858 Balboa Blvd,Northridge,4.6,2119,"[34.2500042, -118.5019746]",34.2500042,-118.5019746,"$179,755.00",1138,1984,925.2,N
In-N-Out Burger,8830 Tampa Ave,Northridge,4.7,2061,"[34.2308305, -118.5531238]",34.2308305,-118.5531238,"$3,027,078.00",3296,2007,807.1,N
In-N-Out Burger,1090 N Western Ave,San Pedro,4.6,2374,"[33.75339760000001, -118.3086819]",33.7533976,-118.3086819,"$933,112.50",3520,,278.9,Y
In-N-Out Burger,19901 Rinaldi St,Porter Ranch,4.6,1272,"[34.2758444, -118.568076]",34.2758444,-118.568076,"$38,531.00",3547,2003,1128.6,N
In-N-Out Burger,24445 Crenshaw Blvd,Torrance,4.7,1890,"[33.8028688, -118.3284331]",33.8028688,-118.3284331,"$3,268,832.50",2886,,75.5,Y
In-N-Out Burger,1701 Artesia Blvd,Gardena,4.6,3660,"[33.8731232, -118.3073577]",33.8731232,-118.3073577,"$2,286,624.00",3666,2015,32.8,N
In-N-Out Burger,2114 E Foothill Blvd,Pasadena,4.6,2848,"[34.1494623, -118.1067843]",34.1494623,-118.1067843,"$86,866.00",840,1952,777.6,N
In-N-Out Burger,4601 Firestone Blvd,South Gate,4.7,5274,"[33.9527834, -118.1883747]",33.9527834,-118.1883747,"$1,990,825.00",3773,2014,111.5,N
In-N-Out Burger,799 E Spring St,Signal Hill,4.7,5480,"[33.8120577, -118.1832562]",33.8120577,-118.1832562,"$2,170,669.00",3744,2013,101.7,N
In-N-Out Burger,20150 Hawthorne Blvd,Torrance,4.6,4035,"[33.8488222, -118.3531803]",33.8488222,-118.3531803,"$5,939,373.00",3653,2012,101.7,N
In-N-Out Burger,5500 Market Pl Dr,Monterey Park,4.7,2753,"[34.0365008, -118.0974343]",34.0365008,-118.0974343,"$1,118,459.00",3825,,416.7,Y
In-N-Out Burger,3801 Inglewood Ave,Redondo Beach,4.6,4787,"[33.8921163, -118.3617549]",33.8921163,-118.3617549,"$1,367,123.00",2566,1993,62.3,N
In-N-Out Burger,4242 Rosemead Blvd,Rosemead,4.6,2200,"[34.0839501, -118.0729673]",34.0839501,-118.0729673,"$384,560.00",1200,,331.4,Y
In-N-Out Burger,2600 Stearns St,Simi Valley,4.7,2249,"[34.2830572, -118.6908939]",34.2830572,-118.6908939,"$1,862,948.00",3116,,1033.5,Y
In-N-Out Burger,4041 N Lakewood Blvd,Long Beach,4.7,1087,"[33.8316622, -118.1431017]",33.8316622,-118.1431017,"$1,443,074.50",2050,,45.9,Y
In-N-Out Burger,9070 Whittier Blvd,Pico Rivera,4.7,3709,"[34.000531, -118.0830505]",34.000531,-118.0830505,"$933,112.50",3520,,177.2,Y
In-N-Out Burger,17325 Bellflower Blvd,Bellflower,4.6,1535,"[33.8750268, -118.1253889]",33.8750268,-118.1253889,"$1,118,459.00",3834,,65.6,Y
In-N-Out Burger,10601 Lower Azusa Rd,Temple City,4.6,1842,"[34.0924921, -118.0384377]",34.0924921,-118.0384377,"$52,335.00",165,1973,301.8,N
In-N-Out Burger,8767 Firestone Blvd,Downey,4.7,4811,"[33.9360724, -118.1242232]",33.9360724,-118.1242232,"$4,675,539.00",2910,1996,114.8,N
In-N-Out Burger,25220 The Old Rd,Newhall,4.6,4580,"[34.3771178, -118.5653501]",34.3771178,-118.5653501,"$851,776.00",3854,1988,1328.7,N
In-N-Out Burger,5820 Bellflower Blvd,Lakewood,4.6,2346,"[33.8610482, -118.1246689]",33.8610482,-118.1246689,"$119,642.50",900,,55.8,Y
In-N-Out Burger,10900 Alondra Blvd,Cerritos,4.6,2910,"[33.8870852, -118.1016148]",33.8870852,-118.1016148,"$1,385,142.00",3846,2015,75.5,N
In-N-Out Burger,13850 Francisquito Ave,Baldwin Park,4.7,5840,"[34.0676782, -117.9734536]",34.0676782,-117.9734536,"$6,893,266.50",3040,,328.1,Y
In-N-Out Burger,420 N Santa Anita Ave,Arcadia,4.6,3070,"[34.1453078, -118.03124]",34.1453078,-118.03124,"$384,560.00",1223,,502,Y
In-N-Out Burger,15259 Amar Rd,La Puente,4.6,1938,"[34.0376111, -117.9516966]",34.0376111,-117.9516966,"$94,637.00",176,1968,324.8,N
In-N-Out Burger,14341 Firestone Blvd,La Mirada,4.7,4033,"[33.8826416, -118.0246209]",33.8826416,-118.0246209,"$1,046,484.00",2929,1995,62.3,N
In-N-Out Burger,14330 Pioneer Blvd,Norwalk,4.6,1822,"[33.9012576, -118.0823417]",33.9012576,-118.0823417,"$113,161.00",3200,1973,88.6,N
In-N-Out Burger,4600 E Los Coyotes Diagonal,Long Beach,4.6,2420,"[33.7911915, -118.1401318]",33.7911915,-118.1401318,"$933,112.50",3483,,23,Y
In-N-Out Burger,14620 Gale Ave,Hacienda Heights,4.6,2502,"[34.0194329, -117.9872484]",34.0194329,-117.9872484,"$118,186.00",770,1972,374,N
In-N-Out Burger,6391 Pacific Coast Hwy,Long Beach,4.6,3423,"[33.7584358, -118.1110948]",33.7584358,-118.1110948,"$6,297,583.50",2993,,6.6,Y
In-N-Out Burger,26401 Bouquet Canyon Rd,Santa Clarita,4.7,2838,"[34.4254603, -118.5392378]",34.4254603,-118.5392378,"$1,862,126.00",2898,2003,1158.1,N
In-N-Out Burger,1761 W Whittier Blvd,La Habra,4.7,2487,"[33.9399518, -117.9661394]",33.9399518,-117.9661394,"$925,452.00",4752,,360.9,Y
In-N-Out Burger,15610 E San Bernardino Rd,West Covina,4.6,1916,"[34.0897655, -117.9409869]",34.0897655,-117.9409869,"$124,134.50",645,,410.1,Y
In-N-Out Burger,10525 Carmenita Rd,Santa Fe Springs,4.7,2580,"[33.9395371, -118.0468306]",33.9395371,-118.0468306,"$925,452.00",4400,,160.8,Y
In-N-Out Burger,856 Los Angeles Ave,Moorpark,4.7,1130,"[34.2802008, -118.8654605]",34.2802008,-118.8654605,"$1,614,624.50",2736,,538.1,Y